size,dis,BER
4,2,0.0002406738869
4,3,0.0006526104418
4,5,0.00106330366
4,7,0.001864640884
5,2,0.001157407407
5,3,0.004524627721
5,6,0.01040433925
5,7,0.0293220339
6,2,0.00760597303
6,3,0.02225490196
6,4,0.02943101712
6,5,0.1121517771
6,7,0.3086309524
